rank,handle,title,url,ranking_window,ranking_sessions,sessions_90d,add_to_carts_90d,reached_checkout_90d,completed_checkout_90d,ga_sessions_28d,ga_add_to_carts_28d,purchases_28d,revenue_28d,clicks_28d,impressions_28d,avg_position,buying_intent_score,intent_source,measured_intent_score,intent_query_support,well_supported,top_query_intent,striking_distance_queries,opportunity_score,has_product_link,has_shop_block,has_existing_path,updated_at,edited_after_window,product_link_count,collection_link_count,search_link_count,index_link_count,paragraph_count,word_count,is_published,signals_cached,top_queries
1,how-to-measure-your-walking-cane-find-the-perfect-fit,How to Measure Your Walking Cane: Find the Perfect Fit,https://www.canesgalore.com/blogs/news/how-to-measure-your-walking-cane-find-the-perfect-fit,90d,947,947.0,2.0,1.0,1.0,190,0,0,0.0,51,3332,12.14,0.502,measured,0.502,379,True,0.9,62,475.4,False,False,False,2026-07-23,False,0,0,0,0,29,660,True,True,walking cane height | how to measure for a cane | how to measure for a walking cane | how to size a cane for walking | how to measure cane height
2,how-to-measure-your-walking-cane,How to Measure Your Walking Cane: A Step-by-Step Guide,https://www.canesgalore.com/blogs/news/how-to-measure-your-walking-cane,90d,350,350.0,1.0,0.0,0.0,74,0,0,0.0,9,2144,19.96,0.508,measured,0.508,368,True,0.9,64,177.8,True,False,False,2026-09-11,True,0,3,0,0,22,408,True,True,walking cane height | cane length | length of cane for height | how long should a cane be for your height | how to measure for a cane
3,best-womens-walking-cane,Best Womens Walking Canes,https://www.canesgalore.com/blogs/news/best-womens-walking-cane,90d,220,220.0,0.0,0.0,0.0,40,0,0,0.0,32,1916,10.31,0.787,measured,0.787,327,True,1.0,78,173.1,True,False,False,2026-09-11,True,0,4,0,0,32,1548,True,True,best walking canes for women | best walking cane for women | best walking cane | best walking canes | best folding cane for women
4,history-walking-canes-journey-time,Walking Cane History: A Journey Through Time,https://www.canesgalore.com/blogs/news/history-walking-canes-journey-time,90d,386,386.0,0.0,0.0,0.0,49,0,0,0.0,44,4892,8.41,0.425,measured,0.425,287,True,1.0,124,164.0,False,False,False,2026-09-11,True,0,0,0,0,33,1110,True,True,victorian cane | when was canes invented | when were canes invented | medieval walking stick | when were walking canes invented
5,the-ultimate-guide-to-vintage-walking-sticks-history-collecting-and-care,"The Ultimate Guide to Vintage Walking Sticks: History, Collecting, and Care",https://www.canesgalore.com/blogs/news/the-ultimate-guide-to-vintage-walking-sticks-history-collecting-and-care,90d,457,457.0,0.0,0.0,0.0,162,0,0,0.0,62,2576,8.83,0.354,measured,0.354,310,True,0.9,82,161.8,True,False,False,2026-09-11,True,0,4,0,0,51,2597,True,True,types of antique walking sticks | yes | age | walking sticks and canes victorian (1837 1901) london assay office miscellaneous | walking sticks and canes victorian (1837 1901) british miscellaneous
6,nordic-walking-sticks-guide-how-to-choose-the-perfect-poles-for-your-outdoor-adventures,Nordic Walking Sticks Guide: How to Choose the Perfect Poles for Your Outdoor Adventures,https://www.canesgalore.com/blogs/news/nordic-walking-sticks-guide-how-to-choose-the-perfect-poles-for-your-outdoor-adventures,90d,279,279.0,0.0,0.0,0.0,130,0,0,0.0,10,1516,9.28,0.56,measured,0.56,344,True,1.0,59,156.2,True,False,False,2026-09-11,True,0,4,0,0,43,2960,True,True,best hiking poles | trekking poles | nordic walking | how to choose hiking poles | nordic walking poles
7,wood-canes-and-walking-sticks-your-complete-buying-guide,Wood Canes and Walking Sticks: Your Complete Buying Guide,https://www.canesgalore.com/blogs/news/wood-canes-and-walking-sticks-your-complete-buying-guide,90d,257,257.0,0.0,0.0,0.0,67,0,0,0.0,18,1881,9.9,0.569,measured,0.569,350,True,1.0,81,146.2,True,False,False,2026-07-23,False,0,2,0,0,64,1610,True,True,walking stick | walking sticks | best wood walking sticks for seniors | best walking cane | wood
8,the-ultimate-guide-to-collapsible-walking-sticks-for-travel-adventures,The Ultimate Guide to Collapsible Walking Sticks for Travel Adventures,https://www.canesgalore.com/blogs/news/the-ultimate-guide-to-collapsible-walking-sticks-for-travel-adventures,90d,186,186.0,1.0,0.0,0.0,85,1,0,0.0,18,2160,9.44,0.718,measured,0.718,139,True,1.0,54,133.5,True,False,False,2026-09-11,True,0,4,0,0,45,2469,True,True,best collapsible walking stick for travel | collapsible walking stick for travel | best tsa approved walking stick | collapsible walking sticks for travel | collapsible walking stick tsa approved
9,finding-your-footing-the-complete-guide-to-walking-sticks-for-better-balance,Finding Your Footing: The Complete Guide to Walking Sticks for Better Balance,https://www.canesgalore.com/blogs/news/finding-your-footing-the-complete-guide-to-walking-sticks-for-better-balance,90d,232,232.0,0.0,0.0,0.0,50,0,0,0.0,8,1885,9.51,0.575,measured,0.575,252,True,1.0,64,133.4,True,False,False,2026-09-11,True,0,4,0,0,42,2140,True,True,how to use a walking stick for balance after injury | walking stick | walking sticks | how to use a cane for balance issues | do walking sticks help with balance
10,the-complete-guide-to-walking-stick-handles-finding-your-perfect-grip,The Complete Guide to Walking Stick Handles: Finding Your Perfect Grip,https://www.canesgalore.com/blogs/news/the-complete-guide-to-walking-stick-handles-finding-your-perfect-grip,90d,271,271.0,1.0,1.0,0.0,77,0,0,0.0,38,2022,11.41,0.483,measured,0.483,198,True,1.0,56,130.9,True,False,False,2026-09-11,True,0,4,0,0,43,2209,True,True,walking stick handles | stick handles | walking stick handle | walking stick grip | walking stick handle grip
